size,1,2,4,8,10,16,20,30
10000000,0.0778428,0.0596263,0.0543911,0.0551177,0.0632877,0.0692223,0.419282,0.492379
100000000,0.722507,0.561518,0.50904,0.621201,0.659061,0.62906,3.75912,4.83147
