size,1,2,4,8,16
100000,0.00252218 0.00256401 0.00257554,0.00151563 0.00154384 0.0015722,0.00103896 0.00113667 0.00104357,0.000953334 0.000975054 0.00101004,0.00175392 0.00174924 0.00177914
1000000,0.0225548 0.0229213 0.0235186,0.01361 0.0141751 0.014228,0.0105641 0.0104038 0.010308,0.00757994 0.00744536 0.00752924,0.00911149 0.00904689 0.0096925
10000000,0.195756 0.226944 0.215258,0.148489 0.117477 0.116547,0.0945981 0.0839449 0.0941465,0.0669899 0.0672302 0.0682513,0.0652238 0.0694578 0.0663584
100000000,1.92023 1.91729 1.92888,1.46859 1.46676 1.46766,0.814034 0.921461 0.922246,0.65896 0.62447 0.64735,0.65373 0.656766 0.652785
