size,1,2,4,8,16
10000,0.000790114 0.000958292 0.00116886,0.00335923 0.00150794 0.00160942,0.00640445 0.00546326 0.00476527,0.0200299 0.0147776 0.0164038,0.00725923 0.00738132 0.00758204
50000,0.00558346 0.00557892 0.00578705,0.00852951 0.00981829 0.0164327,0.0348905 0.0241729 0.0342913,0.117854 0.0597328 0.0805997,0.0398625 0.0357251 0.0393123
100000,0.00960304 0.0095605 0.0078855,0.0182448 0.0275263 0.0414499,0.0825711 0.0846759 0.0747156,0.104006 0.100163 0.131885,0.0802387 0.0767382 0.067632
500000,0.0393394 0.0393448 0.0393872,0.137583 0.158121 0.0722004,0.245115 0.357553 0.226011,0.647743 1.20858 0.865889,0.38968 0.393628 0.379232
