size,1,2,4,8,16
10000,0.00292,0.00648,0.01663,0.05121,0.02222
50000,0.01695,0.03478,0.09335,0.25819,0.1149
100000,0.02705,0.08722,0.24196,0.33605,0.22461
500000,0.11807,0.3679,0.82868,2.72221,1.16254
