size,1,2,4,8,16
10000,0.000806877 0.000977988 0.00114211,0.00193544 0.00148001 0.00194941,0.00463914 0.00493533 0.00531164,0.009922 0.0102238 0.0151349,0.00738236 0.00681637 0.00692127
50000,0.00554638 0.00555951 0.00556425,0.0088359 0.00877186 0.011225,0.0274796 0.0255949 0.0256576,0.0596171 0.0500752 0.067705,0.0345136 0.0356628 0.0356352
100000,0.00948857 0.00948864 0.00781782,0.0172886 0.0179967 0.0203277,0.0525976 0.0651226 0.0535173,0.119749 0.105377 0.100279,0.0700234 0.0726406 0.0736369
500000,0.0473013 0.0447954 0.0533247,0.106895 0.098182 0.0939196,0.222348 0.264923 0.222293,0.525267 0.795447 0.610311,0.371495 0.345372 0.352284
