size,1,2,4,8,16
100000,0.00555567 0.00557676 0.00559366,0.00305381 0.00364089 0.00311366,0.00245827 0.00201772 0.00198999,0.00127914 0.00136211 0.00132789,0.00254159 0.0022945 0.00205215
1000000,0.0624166 0.0649561 0.0561124,0.0319733 0.0351727 0.0342039,0.0177099 0.0176218 0.0169276,0.00931899 0.00914467 0.00931941,0.0105541 0.0115345 0.0102587
10000000,0.504476 0.597521 0.495908,0.256232 0.340498 0.340653,0.176354 0.151191 0.175349,0.0759909 0.0906811 0.0890876,0.0849558 0.0879659 0.0886136
100000000,4.88376 4.87179 4.88603,2.99645 2.7265 2.99518,1.76171 1.66663 1.7358,0.75654 0.760268 0.735244,0.783098 0.791431 0.730919
