size,1,2,4,8,16
10000,0.000489867 0.000593302 0.000692267,0.000355841 0.000285511 0.000313238,0.000179492 0.000179423 0.000179003,9.56818e-05 0.000293822 8.17836e-05,0.000221117 0.000213226 0.000237949
50000,0.00346483 0.00345847 0.00346622,0.00178403 0.00147114 0.00175385,0.000872457 0.000881746 0.000886775,0.000419537 0.000447892 0.000394673,0.000675785 0.000576958 0.000752191
100000,0.00592422 0.00592757 0.00488512,0.002923 0.00340979 0.00350687,0.00174191 0.00174931 0.00175371,0.000887613 0.000887962 0.0010509,0.000989651 0.0011264 0.00120246
500000,0.0264456 0.0274635 0.0256909,0.0170551 0.0146384 0.0149761,0.00872779 0.00873065 0.00872569,0.00659651 0.00374677 0.00746547,0.00566958 0.00541326 0.00456671
