size,1,2,4,8,16
10000,0.000349905 0.000346553 0.00034774,0.00230986 0.00236448 0.00267408,0.00650844 0.00646269 0.00684263,0.0137584 0.00948193 0.00959626,0.00822828 0.00855744 0.00797811
50000,0.00126916 0.00119624 0.00174596,0.00982946 0.0103893 0.0275735,0.0302753 0.0311482 0.0310775,0.0464167 0.0403989 0.0475648,0.0414132 0.0369328 0.0425232
100000,0.00240345 0.00339156 0.00340553,0.0191547 0.0202607 0.0354314,0.0643735 0.0596506 0.0579559,0.0917194 0.0945299 0.0925992,0.0823659 0.0818904 0.0792233
