size,1,2,4,8,16
10000,0.000362127 0.000357239 0.000358286,0.00219476 0.0022982 0.00229254,0.00649196 0.00595341 0.00648602,0.00983309 0.0100547 0.0105675,0.00929057 0.00887466 0.00913307
50000,0.00123347 0.00128368 0.00178116,0.00996419 0.0106497 0.0188488,0.0285821 0.0362325 0.0305215,0.0490211 0.0414114 0.0471637,0.0412739 0.0378181 0.0436217
100000,0.00245527 0.00349032 0.00349381,0.0191246 0.020801 0.0317327,0.0616451 0.0579405 0.0578456,0.093119 0.0967946 0.0965726,0.0843979 0.0830369 0.0817518
