size,1,2,4,8,16
10000,0.000577448 0.00057633 0.00057647,0.00287194 0.00325858 0.00333276,0.00803929 0.00753455 0.00772857,0.0115622 0.0107428 0.0107909,0.00961861 0.0093954 0.00926193
50000,0.00206283 0.00203978 0.00286307,0.0168363 0.0214824 0.0222275,0.0363344 0.0402275 0.0389895,0.0509181 0.0454349 0.0531933,0.0466346 0.0428597 0.0497117
100000,0.00404625 0.00573816 0.00574249,0.0279151 0.0352553 0.0367154,0.0771989 0.0732653 0.0677289,0.104292 0.108007 0.1061,0.094426 0.0957629 0.089934
