size,1,2,4,8,16
100000,0.004821 0.00342991 0.00481318,0.0028938 0.00292111 0.00278632,0.00198594 0.00199781 0.00184409,0.00168394 0.00161564 0.00158784,0.00224756 0.00225099 0.00234185
1000000,0.0416916 0.0381282 0.0378388,0.0256913 0.0293286 0.0266371,0.0195828 0.0192799 0.019972,0.0144161 0.0139719 0.0141479,0.0158131 0.0162764 0.0157973
10000000,0.362783 0.425191 0.400465,0.252646 0.220157 0.279283,0.178928 0.177785 0.158103,0.128407 0.128004 0.129007,0.126966 0.129124 0.12737
100000000,3.69997 4.34995 3.70287,2.62586 2.27403 2.8663,1.91851 1.8603 1.85629,1.35769 1.40355 1.32234,1.32473 1.27425 1.28776
