size,1,2,4,8,16
200,0.047827 0.0581064 0.0512601,0.0478711 0.0579981 0.0470871,0.0481364 0.0505517 0.0520959,0.0492301 0.0433212 0.0553014,0.0452493 0.0437065 0.0521869
800,0.177761 0.206158 0.197728,0.175611 0.181112 0.218215,0.16614 0.217065 0.165725,0.199404 0.171134 0.158224,0.164045 0.165929 0.199843
