size,1,2,4,8,16
4000,1.04576,0.6858,0.47455,0.35612,0.3864
6000,2.3261,1.51914,1.09253,0.78553,0.81578
8000,4.22935,2.6681,1.83985,1.3596,1.36736
10000,6.58834,4.39183,2.87981,2.07239,2.12514
