size,1,2,4,8,16
10000,0.000647987 0.000786553 0.000929657,0.00129667 0.00138879 0.00151088,0.00198056 0.00179653 0.0021669,0.00378973 0.00351001 0.00294695,0.00304731 0.00320579 0.00214629
50000,0.00458641 0.00460044 0.00461756,0.00828066 0.00740918 0.00826669,0.0088769 0.00950749 0.0104076,0.0191164 0.0135116 0.014817,0.0122803 0.0134787 0.0125783
100000,0.00787866 0.00787558 0.00646863,0.0103797 0.0147047 0.0105529,0.0198974 0.0182573 0.0186802,0.0344737 0.0279905 0.0363498,0.0288191 0.0329728 0.0338286
500000,0.0323204 0.0323722 0.032336,0.0786992 0.0764303 0.075484,0.0915104 0.0908254 0.0953831,0.141505 0.189415 0.14528,0.154927 0.13161 0.156812
