size,1,2,4,8,16
4000,0.337562 0.372621 0.335576,0.255913 0.203458 0.226427,0.14695 0.164012 0.163588,0.119488 0.118221 0.118408,0.132731 0.127759 0.125908
6000,0.747077 0.747588 0.831432,0.499129 0.567208 0.452808,0.361169 0.361399 0.369963,0.257284 0.267203 0.26104,0.263829 0.263129 0.288819
8000,1.56527 1.32735 1.33673,0.865489 0.883395 0.919214,0.637077 0.590313 0.612461,0.456401 0.430597 0.472601,0.465205 0.461291 0.440868
10000,2.07191 2.07861 2.43782,1.24922 1.5682 1.57441,0.994703 1.00053 0.884581,0.655762 0.711029 0.705595,0.697957 0.721171 0.706011
